name,slug,category,common_names,indian_names,botanical_name,region,form,description,grade,status,verification
"Cumin","cumin","seeds","Cumin|Cumin seeds|Jeera","Jeera|Jeerige|Jeerakam|Jira","Cuminum cyminum","Rajasthan|Gujarat|Uttar Pradesh","seeds|whole|powder|roasted","Warm, earthy seed spice central to Indian tadka, rice, and masalas.","admin-configured","active","requires_manual_verification"
"Black cumin","black-cumin","seeds","Black cumin|Kala jeera|Shahi jeera","","Bunium persicum","Himachal Pradesh|Jammu and Kashmir|Uttarakhand","seeds|whole","Smaller, darker seeds than common cumin; used in biryani and rich gravies.","admin-configured","active","requires_manual_verification"
"Turmeric","turmeric","whole","","","Curcuma longa","Andhra Pradesh|Telangana|Tamil Nadu|Karnataka|Odisha|Maharashtra","whole|powder","Rhizome sold as dried fingers or powder; earthy, bitter-warm colouring spice.","admin-configured","active","requires_manual_verification"
"Black pepper","black-pepper","whole","","","Piper nigrum","Kerala|Karnataka|Tamil Nadu","whole|crushed|powder","Dried pepper berries; garbled and ungarbled grades appear in Indian market reports.","admin-configured","active","requires_manual_verification"
"Green cardamom","green-cardamom","whole","","","Elettaria cardamomum","Kerala|Karnataka|Tamil Nadu","whole|powder|seeds","Small green pods; sweet-camphor aroma for sweets, tea, and biryani.","admin-configured","active","requires_manual_verification"
"Black cardamom","black-cardamom","whole","","","Amomum subulatum","Sikkim|West Bengal|Northeast India","whole","Large smoked pods used in savoury North Indian cooking.","admin-configured","active","requires_manual_verification"
"Coriander","coriander","seeds","","","Coriandrum sativum","Rajasthan|Gujarat|Madhya Pradesh|Andhra Pradesh","seeds|whole|powder","Citrusy seed, whole or ground; distinct from fresh coriander leaf.","admin-configured","active","requires_manual_verification"
"Kashmiri chilli","kashmiri-chilli","whole","","","Capsicum annuum","Jammu and Kashmir|Himachal Pradesh","whole|powder|flakes","Mild heat, vivid red colour — widely used for colour in gravies.","admin-configured","active","requires_manual_verification"
"Fenugreek","fenugreek","seeds","","","Trigonella foenum-graecum","Rajasthan|Gujarat|Madhya Pradesh|Uttar Pradesh","seeds|leaves|powder","Bitter-maple seeds and dried leaves (kasuri methi).","admin-configured","active","requires_manual_verification"
"Clove","clove","whole","","","Syzygium aromaticum","Kerala|Tamil Nadu|Karnataka","whole|powder","Dried flower buds; intense eugenol aroma.","admin-configured","active","requires_manual_verification"
"Cassia","cassia","whole","","","Cinnamomum cassia","Kerala|Northeast India","whole|powder","Hard bark quills commonly sold as dalchini in Indian retail.","admin-configured","active","requires_manual_verification"
"Cinnamon (Cinnamomum verum)","cinnamon","whole","","","Cinnamomum verum","Kerala","whole|powder","True cinnamon — only sell under this name when the species is verified.","admin-configured","active","requires_manual_verification"
"Saffron","saffron","whole","","","Crocus sativus","Jammu and Kashmir","whole","Dried Crocus stigmas. Sell by gram, never as a generic 1kg grocery spice.","admin-configured","active","requires_manual_verification"
